ped,id,father,mother,sex,affected,avail,origin,originB
1,2363,1571,1626,F,NA,,black,
1,1571,732,582,M,NA,,black,
1,732,280,566,M,NA,,black,
1,280,144,169,M,NA,,black,
1,566,318,319,F,NA,,black,
1,343,133,191,M,NA,,black,
1,582,343,351,F,NA,,black,
1,351,233,213,F,NA,,black,
1,442,337,273,M,NA,,black,
1,717,442,206,M,NA,,black,
1,780,496,490,M,NA,,black,
1,496,261,291,M,NA,,black,
1,291,119,171,F,NA,,black,
1,119,85,86,M,NA,,black,
1,1044,780,749,F,NA,,black,
1,490,280,381,F,NA,,black,
1,140,85,86,M,NA,,black,
1,220,140,198,M,NA,,black,
1,381,220,224,F,NA,,black,
1,283,133,191,M,NA,,black,
1,749,487,386,F,NA,,black,
1,487,283,293,M,NA,,black,
1,293,140,172,F,NA,,black,
1,386,266,189,F,NA,,black,
1,144,0,0,M,NA,1961,grey,unknown
1,169,0,0,F,NA,1963,grey,unknown
1,318,0,0,M,NA,1972,blue,Kazakhstan
1,319,0,0,F,NA,1972,blue,Kazakhstan
1,191,0,0,F,NA,1964,red,USSR
1,233,0,0,M,NA,1968,grey,unknown
1,213,0,0,F,NA,1967,grey,unknown
1,337,0,0,M,NA,1971,grey,unknown
1,273,0,0,F,NA,1969,grey,unknown
1,206,0,0,F,NA,1966,grey,unknown
1,261,0,0,M,NA,1969,grey,unknown
1,85,0,0,M,NA,1955,grey,unknown
1,86,0,0,F,NA,1955,grey,unknown
1,171,0,0,F,NA,1964,grey,unknown
1,133,0,0,M,NA,1960,grey,unknown
1,198,0,0,F,NA,1965,grey,unknown
1,224,0,0,F,NA,1967,grey,unknown
1,172,0,0,F,NA,1964,grey,unknown
1,266,0,0,M,NA,1968,red,USSR
1,189,145,146,F,NA,,black,
1,1626,717,1044,F,NA,,black,
1,145,0,0,M,NA,1961,grey,unknown
1,146,0,0,F,NA,1961,grey,unknown